Rank,Word,Part of speech,Frequency,Dispersion,Copies require reference to source: http://www.wordfrequency.info (note there are swears)
193,program,noun,195985,0.93,
194,hear,verb,196070,0.93,
195,so,conjunctive adverb,191893,0.95,
196,question,noun,192070,0.95,
197,during,preposition,190729,0.95,
198,work,noun,187533,0.97,
199,play,verb,188328,0.96,
200,government,noun,191314,0.94,
201,run,verb,187325,0.96,
202,small,adjective,185463,0.97,
203,number,noun,186005,0.96,
204,off,adverb,183854,0.95,
205,always,adverb,179474,0.97,
206,move,verb,179388,0.97,
207,like,verb,182341,0.95,
208,night,noun,184511,0.93,
209,live,verb,176144,0.98,
210,Mr,noun,188555,0.91,
211,point,noun,177481,0.97,
212,believe,verb,178397,0.96,
213,hold,verb,177368,0.97,
214,today,adverb,183724,0.93,
215,bring,verb,174366,0.98,
216,happen,verb,182714,0.93,
217,next,numeral,176306,0.96,
218,without,preposition,172448,0.98,
219,before,preposition,172769,0.98,
220,large,adjective,175611,0.96,
221,all,adverb,177317,0.93,
222,million,numeral,176895,0.93,
223,must,verb,171043,0.96,
224,home,noun,170527,0.96,
225,under,preposition,164766,0.98,
226,water,noun,167666,0.96,
227,room,noun,172472,0.92,
228,write,verb,161824,0.98,
229,mother,noun,169407,0.93,
230,area,noun,165812,0.95,
231,national,adjective,166359,0.95,
232,money,noun,164794,0.95,
233,story,noun,163582,0.96,
234,young,adjective,160011,0.98,
235,fact,noun,164401,0.95,
236,month,noun,162685,0.96,
237,different,adjective,162411,0.96,
238,lot,noun,169570,0.92,
239,right,noun,163259,0.95,
240,study,noun,174069,0.88,
241,book,noun,154013,0.98,
242,eye,noun,169150,0.89,
243,job,noun,154743,0.96,
244,word,noun,152891,0.97,
245,though,conjunctive adverb,152182,0.97,
246,business,noun,154468,0.95,
247,issue,noun,156417,0.94,
248,side,noun,152559,0.96,
249,kind,noun,155032,0.95,
250,four,numeral,150646,0.97,
251,head,noun,160131,0.91,
252,far,adverb,148621,0.98,
253,black,adjective,150718,0.96,
254,long,adjective,149050,0.97,
255,both,determiner,146338,0.97,
256,little,adjective,149658,0.94,
257,house,noun,149251,0.94,
258,yes,interjection,157364,0.89,
259,after,conjunctive adverb,142289,0.98,
260,since,conjunctive adverb,141264,0.98,
261,long,adverb,142007,0.97,
262,provide,verb,150879,0.91,
263,service,noun,146122,0.94,
264,around,preposition,143766,0.96,
265,friend,noun,142697,0.96,
266,important,adjective,144194,0.95,
267,father,noun,145051,0.93,
268,sit,verb,147185,0.92,
269,away,adverb,144713,0.93,
270,until,conjunctive adverb,140819,0.96,
271,power,noun,141357,0.95,
272,hour,noun,138955,0.96,
273,game,noun,146311,0.92,
274,often,adverb,140731,0.95,
275,yet,adverb,135484,0.98,
276,line,noun,135986,0.98,
277,political,adjective,144437,0.92,
278,end,noun,134104,0.98,
279,among,preposition,138192,0.94,
280,ever,adverb,135774,0.96,
281,stand,verb,140937,0.92,
282,bad,adjective,134910,0.96,
283,lose,verb,134102,0.97,
284,however,adverb,142282,0.91,
285,member,noun,134731,0.95,
286,pay,verb,133133,0.96,
287,law,noun,133706,0.95,
288,meet,verb,128737,0.98,
289,car,noun,133571,0.94,
290,city,noun,132684,0.95,
291,almost,adverb,127907,0.98,
292,include,verb,133563,0.93,
293,continue,verb,126029,0.98,
294,set,verb,127369,0.97,
295,later,adverb,126495,0.98,
296,community,noun,133057,0.93,
297,much,adverb,126029,0.98,
298,name,noun,127139,0.97,
299,five,numeral,125571,0.97,
300,once,adverb,126203,0.97,
301,white,adjective,126760,0.96,
302,least,adverb,123961,0.98,
303,president,noun,134203,0.9,
304,learn,verb,124346,0.97,
305,real,adjective,124187,0.97,
306,change,verb,123183,0.98,
307,team,noun,131489,0.92,
308,minute,noun,126660,0.95,
309,best,adjective,124850,0.96,
310,several,determiner,124039,0.97,
311,idea,noun,122140,0.98,
312,kid,noun,126428,0.95,
313,body,noun,125165,0.96,
314,information,noun,127331,0.94,
315,nothing,pronoun,126717,0.94,
316,ago,adverb,125252,0.95,
317,right,adjective,126278,0.94,
318,lead,verb,122691,0.97,
319,social,adjective,132899,0.89,
320,understand,verb,121354,0.97,
321,whether,conjunctive adverb,121921,0.96,
322,back,noun,125006,0.94,
323,watch,verb,124976,0.94,
324,together,adverb,119186,0.98,
325,follow,verb,119425,0.97,
326,around,adverb,122789,0.94,
327,parent,noun,119610,0.97,
328,only,adjective,117700,0.98,
329,stop,verb,121481,0.94,
330,face,noun,127291,0.89,
331,anything,pronoun,120292,0.94,
332,create,verb,119419,0.95,
333,public,adjective,119825,0.95,
334,already,adverb,115220,0.98,
335,speak,verb,117358,0.96,
336,others,noun,115771,0.97,
337,read,verb,114094,0.97,
338,level,noun,121704,0.91,
339,allow,verb,114892,0.97,
340,add,verb,117842,0.94,
341,office,noun,114791,0.97,
342,spend,verb,114569,0.97,
343,door,noun,124993,0.88,
344,health,noun,117762,0.94,
345,person,noun,113650,0.97,
346,art,noun,117851,0.93,
347,sure,adjective,116186,0.94,
348,such,preposition,119125,0.92,
349,war,noun,117804,0.93,
350,history,noun,114904,0.95,
351,party,noun,112962,0.96,
352,within,preposition,114599,0.93,
353,grow,verb,110020,0.97,
354,result,noun,116277,0.92,
355,open,verb,111857,0.94,
356,change,noun,112426,0.94,
357,morning,noun,114002,0.92,
358,walk,verb,113787,0.92,
359,reason,noun,106863,0.97,
360,low,adjective,108990,0.95,
361,win,verb,111478,0.93,
362,research,noun,114802,0.9,
363,girl,noun,110409,0.93,
364,guy,noun,110409,0.93,
365,early,adjective,108171,0.95,
366,food,noun,107728,0.96,
367,before,conjunctive adverb,107448,0.96,
368,moment,noun,109720,0.94,
369,himself,pronoun,109288,0.94,
370,air,noun,105932,0.96,
371,teacher,noun,116100,0.88,
372,force,noun,108005,0.95,
373,offer,verb,106473,0.96,
374,enough,adverb,105880,0.96,
375,both,adverb,106361,0.95,
376,education,noun,113731,0.89,
377,across,preposition,105559,0.96,
378,although,conjunctive adverb,107925,0.93,
379,remember,verb,106879,0.94,
380,foot,noun,107285,0.94,
381,second,numeral,103621,0.97,
382,boy,noun,107447,0.93,
383,maybe,adverb,108421,0.92,
384,toward,preposition,105984,0.94,
385,able,adjective,103171,0.97,
386,age,noun,103402,0.96,
387,off,preposition,104122,0.95,
388,policy,noun,107601,0.92,
389,everything,pronoun,103591,0.95,
390,love,verb,103681,0.95,
391,process,noun,107341,0.91,
392,music,noun,102657,0.95,
